"","6_16470_lung","6_16605_lung","6_16629_lung","6_16673_lung","6_16727_lung","6_16736_lung","6_16832_lung","6_16620_lung","7_16477_lung","7_16559_lung","7_16678_lung","9_16482_lung","9_16680_lung","9_16721_lung","9_17064_lung","11_16483_lung","11_16496_lung","11_16545_lung","11_16561_lung","11_16577_lung","11_16598_lung","11_16643_lung","11_16681_lung","11_16829_lung","11_16979_lung"
"sk__Bacteria;k__;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__Treponema_sp._3:D:BQ032",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Synergistetes",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Fretibacterium",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"sk__Bacteria;k__;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Ureaplasma",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Chloroplast",0,0,0,1,2,0,0,0,10,3,0,0,0,0,0,4,1,1,0,0,1,0,0,0,2
"sk__Eukaryota",35,3,9,9,21,20,3,9,17,4,8,0,16,1,31,26,39,33,24,26,23,19,12,15,18
"sk__Eukaryota;k__;p__;c__Aphelidea",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"sk__Eukaryota;k__;p__;c__Aphelidea;o__;f__;g__Paraphelidium;s__Paraphelidium_tribonemae",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"sk__Eukaryota;k__;p__Apicomplexa;c__Coccidia;o__Eucoccidiorida;f__Sarcocystidae;g__Sarcocystis;s__Sarcocystis_neurona",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Eukaryota;k__Fungi",0,0,1,0,14,36,0,21,12,0,0,0,23,0,45,8,15,2,0,2,0,0,0,11,1
"sk__Eukaryota;k__Fungi;p__Ascomycota",0,0,0,1,40,50,0,26,27,0,1,0,34,0,70,12,18,0,0,0,0,0,0,21,2
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Dothideomycetes",0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales",0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Eurotiomycetes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Lecanoromycetes",0,0,0,0,2,0,0,2,1,0,0,0,0,0,7,0,3,0,0,0,0,0,0,1,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes",0,0,0,0,8,14,0,7,6,0,0,0,9,0,13,2,2,0,0,0,0,0,0,3,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales",0,0,0,0,4,2,0,4,4,0,0,0,4,0,4,1,2,0,0,1,0,0,0,2,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae",0,0,0,0,5,8,0,3,0,0,0,0,8,0,12,1,7,0,0,0,0,0,0,4,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Blumeria",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Blumeria;s__Blumeria_graminis",0,0,0,0,1,3,0,1,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales",0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes",0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales",0,0,0,0,1,2,0,1,5,0,0,0,6,0,4,0,0,1,1,0,0,1,0,1,17
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"sk__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"sk__Eukaryota;k__Fungi;p__Basidiomycota",3,1,0,0,2,3,0,0,1,0,0,0,1,0,2,0,2,0,2,0,1,0,0,1,0
"sk__Eukaryota;k__Metazoa",534,98,155,238,202,203,54,40,190,113,106,42,54,16,288,424,452,471,425,390,313,218,169,93,193
"sk__Eukaryota;k__Metazoa;p__Arthropoda",8,3,4,3,0,0,0,0,4,1,2,0,2,0,1,7,5,6,8,4,1,2,3,0,3
"sk__Eukaryota;k__Metazoa;p__Chordata",122,21,34,49,33,34,7,6,51,20,25,6,11,6,62,76,91,97,93,84,72,63,44,25,44
"sk__Eukaryota;k__Metazoa;p__Chordata;c__;o__Coelacanthiformes",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Eukaryota;k__Metazoa;p__Chordata;c__;o__Crocodylia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri",7,1,1,2,1,2,1,0,1,1,1,0,1,0,5,5,7,7,4,4,1,3,3,0,1
"sk__Eukaryota;k__Metazoa;p__Chordata;c__Aves",1,0,0,3,3,1,2,0,0,0,0,2,0,0,1,1,2,3,1,1,1,1,0,1,1
"sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia",110,23,33,48,33,34,10,10,39,20,18,15,15,5,43,77,80,97,98,75,54,37,42,9,46
"sk__Eukaryota;k__Metazoa;p__Nematoda",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"sk__Eukaryota;k__Metazoa;p__Nematoda;c__Enoplea;o__Trichinellida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
"sk__Eukaryota;k__Metazoa;p__Nematoda;c__Enoplea;o__Trichinellida;f__Trichinellidae;g__Trichinella;s__Trichinella_pseudospiralis",4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"sk__Eukaryota;k__Viridiplantae",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
"sk__Eukaryota;k__Viridiplantae;p__Streptophyta",0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1
"sk__Mitochondria",1,0,0,0,1,12,0,1,4,1,0,0,3,0,15,1,4,0,0,0,0,0,1,2,0
