"","6_16470_lung","6_16605_lung","6_16629_lung","6_16673_lung","6_16727_lung","6_16736_lung","6_16832_lung","6_16620_lung","7_16477_lung","7_16559_lung","7_16678_lung","9_16482_lung","9_16680_lung","9_16721_lung","9_17064_lung","11_16483_lung","11_16496_lung","11_16545_lung","11_16561_lung","11_16577_lung","11_16598_lung","11_16643_lung","11_16681_lung","11_16829_lung","11_16979_lung"
"sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_pallens",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._AN_5135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0
"sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._canine_oral_taxon_372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._oral_clone_DO014",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_sp._oral_clone_P4PB_83_P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
"sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae",0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,2,5,1,2,6,0,1,0,2
"sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales",0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,2,0,0,3,0,0,1,3
"sk__Bacteria;k__;p__Bacteroidetes;c__Bacteroidia;o__Marinilabiliales;f__Marinilabiliaceae",0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,1,4,0,0,0,1,0,0,2
