"","otu","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1797","OTU1797","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"1798","OTU1798","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira","unclassified"
"1799","OTU1799","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Eubacterium","hallii"
"1800","OTU1800","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1801","OTU1801","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","unclassified","unclassified"
"1802","OTU1802","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","unclassified","unclassified","unclassified"
"1803","OTU1803","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1804","OTU1804","Bacteria","Firmicutes","unclassified","unclassified","unclassified","unclassified","unclassified"
"1805","OTU1805","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified"
"1806","OTU1806","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylorosula","unclassified"
"1807","OTU1807","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","unclassified"
"1808","OTU1808","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia","unclassified"
"1809","OTU1809","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9","unclassified","unclassified","unclassified"
"1810","OTU1810","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella","unclassified"
"1811","OTU1811","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","unclassified"
"1812","OTU1812","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1813","OTU1813","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1814","OTU1814","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1815","OTU1815","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1816","OTU1816","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
