"","otu","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"645","OTU645","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","unclassified"
"646","OTU646","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","unclassified","unclassified"
"647","OTU647","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"648","OTU648","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","unclassified","unclassified"
"649","OTU649","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"650","OTU650","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified"
"651","OTU651","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9","unclassified","unclassified","unclassified"
"652","OTU652","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Shuttleworthia","unclassified"
"653","OTU653","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia","unclassified"
"654","OTU654","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","unclassified","unclassified"
"655","OTU655","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"656","OTU656","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","unclassified"
"657","OTU657","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Pseudoclavibacter","unclassified"
"658","OTU658","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","unclassified","unclassified"
"659","OTU659","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"660","OTU660","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio","unclassified"
"661","OTU661","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"662","OTU662","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","Peptoniphilus","unclassified"
"663","OTU663","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Barnesiella","unclassified"
"664","OTU664","Bacteria","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae","unclassified","unclassified"
"665","OTU665","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","yanoikuyae"
"666","OTU666","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Desemzia","unclassified"
"667","OTU667","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","unclassified"
"668","OTU668","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Eisenbergiella","unclassified"
"669","OTU669","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9","unclassified","unclassified","unclassified"
"670","OTU670","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"671","OTU671","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","unclassified"
"672","OTU672","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"673","OTU673","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"674","OTU674","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","unclassified","unclassified"
"675","OTU675","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"676","OTU676","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","unclassified"
"677","OTU677","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"678","OTU678","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9","unclassified","unclassified","unclassified"
"679","OTU679","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Dysgonomonas","unclassified"
"680","OTU680","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","unclassified"
"681","OTU681","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"682","OTU682","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","unclassified"
"683","OTU683","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","unclassified"
"684","OTU684","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","Anaerococcus","octavius"
"685","OTU685","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","Eubacterium","brachy"
"686","OTU686","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","unclassified","unclassified"
"687","OTU687","Bacteria","Verrucomicrobia","Opitutae","Opitutae_vadinHA64","unclassified","unclassified","unclassified"
"688","OTU688","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","pallens"
"689","OTU689","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Sutterella","unclassified"
"690","OTU690","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus","unclassified"
"691","OTU691","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Odoribacter","unclassified"
"692","OTU692","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"693","OTU693","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified"
"694","OTU694","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"695","OTU695","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"696","OTU696","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"697","OTU697","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified"
"698","OTU698","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","Anaerococcus","unclassified"
"699","OTU699","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","intestinalis"
"700","OTU700","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium","unclassified"
"701","OTU701","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9","unclassified","unclassified","unclassified"
"702","OTU702","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","unclassified"
"703","OTU703","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Dermabacter","hominis"
"704","OTU704","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"705","OTU705","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"706","OTU706","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"707","OTU707","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","unclassified"
"708","OTU708","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum","unclassified"
"709","OTU709","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9","unclassified","unclassified","unclassified"
"710","OTU710","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"711","OTU711","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"712","OTU712","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"713","OTU713","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"714","OTU714","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"715","OTU715","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","unclassified"
"716","OTU716","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","unclassified","unclassified"
"717","OTU717","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor","unclassified"
"718","OTU718","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea","unclassified"
"719","OTU719","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Selenomonas","unclassified"
"720","OTU720","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","unclassified"
"721","OTU721","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Peptococcus","unclassified"
"722","OTU722","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"723","OTU723","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"724","OTU724","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"725","OTU725","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","unclassified"
"726","OTU726","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","unclassified"
"727","OTU727","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","unclassified"
"728","OTU728","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"729","OTU729","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"730","OTU730","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Acetitomaculum","unclassified"
"731","OTU731","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"732","OTU732","Bacteria","Firmicutes","unclassified","unclassified","unclassified","unclassified","unclassified"
"733","OTU733","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","unclassified"
"734","OTU734","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"735","OTU735","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","somerae"
"736","OTU736","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","unclassified","unclassified"
"737","OTU737","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"738","OTU738","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Selenomonas","noxia"
"739","OTU739","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","unclassified","unclassified"
"740","OTU740","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","gardneri"
"741","OTU741","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"742","OTU742","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Eubacterium","coprostanoligenes"
"743","OTU743","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","Murdochiella","unclassified"
"744","OTU744","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","unclassified"
"745","OTU745","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"746","OTU746","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","unclassified"
"747","OTU747","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"748","OTU748","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"749","OTU749","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","unclassified","unclassified"
"750","OTU750","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"751","OTU751","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","bergensis"
"752","OTU752","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"753","OTU753","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"754","OTU754","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","unclassified"
"755","OTU755","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"756","OTU756","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","osloensis"
"757","OTU757","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister","unclassified"
"758","OTU758","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","unclassified"
"759","OTU759","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"760","OTU760","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus","gauvreauii"
"761","OTU761","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","unclassified"
"762","OTU762","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"763","OTU763","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Scardovia","wiggsiae"
"764","OTU764","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"765","OTU765","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"766","OTU766","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"767","OTU767","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"768","OTU768","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"769","OTU769","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"770","OTU770","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","unclassified"
"771","OTU771","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","unclassified"
"772","OTU772","Bacteria","Cyanobacteria","Chloroplast","unclassified","unclassified","unclassified","unclassified"
"773","OTU773","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Stomatobaculum","unclassified"
"774","OTU774","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","nigrescens"
"775","OTU775","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"776","OTU776","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified"
"777","OTU777","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Stomatobaculum","longum"
"778","OTU778","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Ruminococcus","gauvreauii"
"779","OTU779","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","unclassified"
"780","OTU780","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"781","OTU781","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","unclassified"
"782","OTU782","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Bergeyella","unclassified"
"783","OTU783","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","unclassified","unclassified"
"784","OTU784","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Odoribacter","unclassified"
"785","OTU785","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","unclassified"
"786","OTU786","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"787","OTU787","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"788","OTU788","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"789","OTU789","Bacteria","Saccharibacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"790","OTU790","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"791","OTU791","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus","unclassified"
"792","OTU792","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","unclassified","unclassified"
"793","OTU793","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","unclassified"
"794","OTU794","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","unclassified","unclassified"
"795","OTU795","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","unclassified"
"796","OTU796","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Nevskiaceae","Hydrocarboniphaga","effusa"
"797","OTU797","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","unclassified"
"798","OTU798","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"799","OTU799","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"800","OTU800","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Dechloromonas","unclassified"
"801","OTU801","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","unclassified"
"802","OTU802","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"803","OTU803","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Olsenella","unclassified"
"804","OTU804","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"805","OTU805","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Dialister","unclassified"
"806","OTU806","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"807","OTU807","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"808","OTU808","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9","unclassified","unclassified","unclassified"
"809","OTU809","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"810","OTU810","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"811","OTU811","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","unclassified"
"812","OTU812","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","maltophilia"
"813","OTU813","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Eubacterium","coprostanoligenes"
"814","OTU814","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"815","OTU815","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","unclassified"
"816","OTU816","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"817","OTU817","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"818","OTU818","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"819","OTU819","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","unclassified"
"820","OTU820","Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales","unclassified","unclassified","unclassified"
"821","OTU821","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"822","OTU822","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Trueperella","bernardiae"
"823","OTU823","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","unclassified"
"824","OTU824","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"825","OTU825","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"826","OTU826","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","unclassified","unclassified"
"827","OTU827","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","unclassified"
"828","OTU828","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Dysgonomonas","unclassified"
"829","OTU829","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"830","OTU830","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"831","OTU831","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","Eubacterium","brachy"
"832","OTU832","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"833","OTU833","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","unclassified"
"834","OTU834","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","unclassified"
"835","OTU835","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Slackia","unclassified"
"836","OTU836","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","unclassified","unclassified"
"837","OTU837","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","unclassified"
"838","OTU838","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"839","OTU839","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"840","OTU840","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter","unclassified"
"841","OTU841","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","unclassified"
"842","OTU842","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","unclassified","unclassified"
"843","OTU843","Bacteria","Firmicutes","unclassified","unclassified","unclassified","unclassified","unclassified"
"844","OTU844","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","unclassified"
"845","OTU845","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"846","OTU846","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"847","OTU847","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"848","OTU848","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","unclassified"
"849","OTU849","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","unclassified","unclassified"
"850","OTU850","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Eubacterium","coprostanoligenes"
"851","OTU851","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella","unclassified"
"852","OTU852","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Robinsoniella","peoriensis"
"853","OTU853","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","Mogibacterium","unclassified"
"854","OTU854","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"855","OTU855","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","unclassified"
"856","OTU856","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","goodfellowii"
"857","OTU857","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","Murdochiella","unclassified"
"858","OTU858","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","unclassified","unclassified"
"859","OTU859","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","unclassified","unclassified"
"860","OTU860","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"861","OTU861","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"862","OTU862","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Atopobium","unclassified"
"863","OTU863","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","unclassified"
"864","OTU864","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"865","OTU865","Bacteria","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae","unclassified","unclassified"
"866","OTU866","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"867","OTU867","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"868","OTU868","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rhodanobacter","unclassified"
"869","OTU869","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","Anaerococcus","unclassified"
"870","OTU870","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Eubacterium","coprostanoligenes"
"871","OTU871","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","unclassified","unclassified"
"872","OTU872","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","unclassified"
"873","OTU873","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"874","OTU874","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerotruncus","unclassified"
"875","OTU875","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","komagatae"
"876","OTU876","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium","unclassified"
"877","OTU877","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","Peptoniphilus","unclassified"
"878","OTU878","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","unclassified"
"879","OTU879","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"880","OTU880","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Methylobacillus","unclassified"
"881","OTU881","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","unclassified"
"882","OTU882","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9","unclassified","unclassified","unclassified"
"883","OTU883","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
