"","ID","Group","c","e","N","NLL"
"23","M1070_s112_vaginal","Peptostreptococcus",0.0644500996488071,0.265807156321373,1,18.0764775389199
"24","M1070_s112_vaginal","Porphyromonas",0.153595244719045,0.134786768420065,2,50.6308714870485
"25","M1070_s112_vaginal","Porphyromonas_A",1.26457234111026,0.288382815260225,1,29.8387410453362
"26","M1070_s112_vaginal","Prevotella",0.939205026319903,0.79731565292183,1,43.9041221687825
"27","M1070_s112_vaginal","Prevotella_A",14.3653117400901,0.455590555911651,1,8.93139217051149
"28","M1070_s112_vaginal","Prevotella_B",16.4941895211186,0.52376312428912,1,8.93139053389396
"29","M1070_s112_vaginal","Prevotella_C",10.8169182384033,1.51904265091728,1,24.2457209592511
"30","M1070_s112_vaginal","Sneathia",0.409695483959978,0.407691863764148,1,38.3910827136374
"31","M1070_s112_vaginal","Staphylococcus",4.13479998764829,10.800353791425,1,38.3515477673728
"32","M1070_s112_vaginal","Streptococcus",0.224201710815777,1.74434869186956,5,112.955490082728
"33","M1070_s112_vaginal","Streptococcus_A",0.172620868635643,0.797950698623642,1,27.2332558101787
"34","M1070_s112_vaginal","Varibaculum",0.746339201875457,0.405344248451662,1,39.1874331012234
"210","M1070_s116_vaginal","Aerococcus",1.84051874917032,0.256403782332098,1,23.6670910906842
"310","M1070_s116_vaginal","Anaerococcus",0.763555879405774,0.365862293583156,2,73.6636500332633
"410","M1070_s116_vaginal","Atopobium",1.18543840242371,0.0560299361005386,1,10.7614814450629
"510","M1070_s116_vaginal","Bacteroides",15.0155527791076,20.5746706034565,1,43.5769592741312
"610","M1070_s116_vaginal","Corynebacterium",16.2099669110506,52.929802034026,1,34.8485707721149
"710","M1070_s116_vaginal","Dialister_B",0.886497387481443,0.6269259177749,1,41.7616398207504
"810","M1070_s116_vaginal","Dialister_C",0.311459780477209,0.92706028926267,1,34.201083033746
"910","M1070_s116_vaginal","Eggerthella",13.7073873160445,0.441940973313561,1,8.89989296451317
"1010","M1070_s116_vaginal","Eubacterium_A",0.522405090750592,1.88127533854243,1,33.3900155463037
"1110","M1070_s116_vaginal","Ezakiella",0.334577743340545,0.656394804028647,1,37.4383832779546
"1210","M1070_s116_vaginal","Hoylesella",0.727926468968126,0.356702736080589,1,37.5231395403282
"1310","M1070_s116_vaginal","Lactobacillus",0.555038002053639,0.387979379982426,3,116.757481227561
"1410","M1070_s116_vaginal","Megasphaera",1.09869782275181,0.463225622644342,1,37.5533066472986
"1510","M1070_s116_vaginal","Mobiluncus",0.43226489815257,0.372698934306929,2,76.116812480394
"1610","M1070_s116_vaginal","Peptoniphilus",0.795270053361242,0.138196760634915,4,92.3151491280625
"1710","M1070_s116_vaginal","Peptostreptococcus",0.210449207815578,0.714519529646466,1,30.3926331467982
"1810","M1070_s116_vaginal","Porphyromonas",0.307699227849897,0.848041681633736,1,34.0692461891155
"1910","M1070_s116_vaginal","Porphyromonas_A",0.391848631145557,0.43077808200122,1,37.6691220396807
"209","M1070_s116_vaginal","Prevotella",11.694613868413,19.4989041956996,1,42.3400484677804
"211","M1070_s116_vaginal","Prevotella_B",14.4061782099946,0.228641556621084,1,5.15103006246013
"221","M1070_s116_vaginal","Prevotella_C",13.7073873160445,0.441940973313561,1,8.89989296451317
"231","M1070_s116_vaginal","Prevotella_E",1.13818426581609,0.117694278081569,1,18.2128165370086
"241","M1070_s116_vaginal","Roseburia",0.141001425334341,0.35679678985991,1,28.6140546266859
"251","M1070_s116_vaginal","Sneathia",0.461877963257476,0.484050037954366,3,118.752266016973
"212","M1070_s12_vaginal","Actinomyces_B",0.205016862270781,0.450490751806019,1,32.5966504640776
"311","M1070_s12_vaginal","Aerococcus",0.174676274980541,0.136036110715675,2,51.1254994185691
"411","M1070_s12_vaginal","Anaerococcus",0.314710990506177,0.342913154410496,3,110.065682283246
"511","M1070_s12_vaginal","Bacteroides",0.256070390154667,0.765359164594994,1,33.7793000249192
"611","M1070_s12_vaginal","Corynebacterium",0.400945292392469,0.277444187617419,1,36.1387238594957
"711","M1070_s12_vaginal","Dialister_A",0.383867861411772,0.282765798296654,1,36.2463928607786
"811","M1070_s12_vaginal","Dialister_B",0.643534529022216,0.644402345977785,1,43.3571705709638
"911","M1070_s12_vaginal","Dialister_C",0.467750831812184,0.468378459737499,1,41.0474258126795
"1011","M1070_s12_vaginal","Eggerthella",1.13001435452237,17.5181639878191,1,15.0897037364298
"1111","M1070_s12_vaginal","Enterococcus",0.328562406960385,1.64340398126499,1,29.1767704402093
"1211","M1070_s12_vaginal","Ezakiella",0.432480456252171,1.37682974807925,1,35.734886031306
"1311","M1070_s12_vaginal","Fannyhessea",0.735166448397636,0.735411473477365,1,44.0038172220084
"1411","M1070_s12_vaginal","Finegoldia",0.0969322043353604,0.0964158362859389,1,20.3505101490021
"1511","M1070_s12_vaginal","Gardnerella",0.921974806932264,0.103038821400061,1,17.6993848983228
"1611","M1070_s12_vaginal","Gemella",0.539402420980644,0.540122671035576,1,42.0817905096665
"1711","M1070_s12_vaginal","Lactobacillus",0.57544552990141,0.097737019721541,3,64.4053463821817
"1811","M1070_s12_vaginal","Lactobacillus_A",0.300415050425635,0.60179574911742,1,36.6135572512144
"1911","M1070_s12_vaginal","Lactobacillus_B",502.336615134034,160.421349192465,1,36.554668171353
"2010","M1070_s12_vaginal","Limosilactobacillus",0.194121361423565,0.612676902391373,2,60.4451645592386
"213","M1070_s12_vaginal","Mageeibacillus",0.258941135353647,16.837109876801,1,5.18204053168437
"222","M1070_s12_vaginal","Megasphaera",0.0877779388954446,1.24858469203931,2,29.8698901135938
"232","M1070_s12_vaginal","Mobiluncus",0.263047025283068,0.492043255671601,1,36.0295846833605
"242","M1070_s12_vaginal","Parvimonas",1.04152056580624,67.6690044114912,1,5.18204052620428
"252","M1070_s12_vaginal","Peptoniphilus",0.366668169008175,0.367155916692337,4,152.613358512843
"261","M1070_s12_vaginal","Peptostreptococcus",0.443320269470216,0.443171730529784,1,39.9960727794205
"271","M1070_s12_vaginal","Porphyromonas",0.265739658781095,0.931800075016825,1,32.6942836177907
"281","M1070_s12_vaginal","Porphyromonas_A",6.26526169591375,18.0607349123661,1,37.6533915978884
"291","M1070_s12_vaginal","Prevotella",0.397660599407231,0.29840057899748,2,74.2650473942432
"301","M1070_s12_vaginal","Prevotella_A",0.376024834508559,0.333983934161876,1,37.5810278993856
"312","M1070_s12_vaginal","Prevotella_B",0.538876135026928,17.2458578571551,1,8.96240132915501
"321","M1070_s12_vaginal","Prevotella_C",0.702069119471033,0.707719302599785,1,43.8912774830573
"331","M1070_s12_vaginal","Prevotella_F",0.264644198086719,0.990350702039586,1,31.7419868661467
"341","M1070_s12_vaginal","Raoultella",0.192648934642982,1.21683518744941,1,24.7526515708648
"35","M1070_s12_vaginal","Sneathia",1.04152056580624,67.6690044114912,1,5.18204052620428
"36","M1070_s12_vaginal","Staphylococcus",0.504632581971887,0.50480269592118,3,124.298313534061
"37","M1070_s12_vaginal","Streptococcus",0.411983552388246,0.338170262108185,2,76.6486032989999
"38","M1070_s12_vaginal","Streptococcus_A",0.133186285060264,0.705242919742132,1,24.3815414702631
"39","M1070_s12_vaginal","Veillonella",0.209247358769111,0.533877491010762,2,65.7454977364759
"214","M1070_s127_vaginal","Actinomyces_B",0.416630553898546,0.534472403710294,1,38.6727953724264
"313","M1070_s127_vaginal","Aerococcus",1.67792846643857,0.245629810435123,1,23.2938680689182
"412","M1070_s127_vaginal","Anaerococcus",0.170955832332657,0.339354907215561,3,89.43499746852
"512","M1070_s127_vaginal","Atopobium",0.179910608348123,0.180873944737152,1,27.633737851127
"612","M1070_s127_vaginal","Corynebacterium",0.356938265244709,0.933336020344252,1,35.241993246596
"712","M1070_s127_vaginal","Dialister_A",0.206078227019056,0.34671772935319,1,32.3563328094673
"812","M1070_s127_vaginal","Dialister_B",0.423059214406921,0.940055696547431,1,36.9300414097754
"912","M1070_s127_vaginal","Dialister_C",0.13650257571708,0.307909439509698,1,27.3032109444415
"1012","M1070_s127_vaginal","Eggerthella",0.157661565097004,0.29429220786144,1,29.2941367614414
"1112","M1070_s127_vaginal","Enterococcus",0.198411513156658,0.2128337840004,2,59.3622214506411
"1212","M1070_s127_vaginal","Escherichia",0.13806379776204,0.751296672843164,1,23.2838010659592
"1312","M1070_s127_vaginal","Fannyhessea",0.0983730524528051,0.0978499415761507,1,19.6126741395558
"1412","M1070_s127_vaginal","Finegoldia",0.917223932065291,0.293437800394733,1,32.2306839470217
"1512","M1070_s127_vaginal","Gardnerella",19.6018832444231,0.653315404548166,1,8.83536379508447
"1612","M1070_s127_vaginal","Gemella",0.591675645601953,0.266512880045476,1,33.6546574624634
"1712","M1070_s127_vaginal","Hoylesella",0.0670097684365931,0.240284385452916,1,18.9815728659417
"1812","M1070_s127_vaginal","Lactobacillus",0.764148795252532,0.0568471900798808,3,37.4305714266782
"1912","M1070_s127_vaginal","Lactobacillus_B",0.180873944737152,0.179910608348123,1,27.633737851127
"2011","M1070_s127_vaginal","Lactobacillus_C",0.128603603146374,0.25138263336584,1,25.9434895717913
"215","M1070_s127_vaginal","Lactobacillus_E",0.576717765043835,0.815494134773789,1,41.2732025478235
"223","M1070_s127_vaginal","Lactobacillus_F",0.094971910670033,0.18799970493695,1,22.1015425787224
"233","M1070_s127_vaginal","Limosilactobacillus",0.158547896507907,0.157686070304879,2,51.6838422172777
"243","M1070_s127_vaginal","Mageeibacillus",0.0623360095067048,0.0626695432668119,1,14.5460891897695
