"","ID","Group","c","e","N","NLL"
"16282","M5147_Bgtw12_gut.extra","Leuconostocaceae",1.44900222202458,3.30881307939048,1,12.2385827558778
"17276","M5147_Bgtw12_gut.extra","Methanobacteriaceae",0.147178124645661,0.433644511053339,1,9.43951100655653
"18265","M5147_Bgtw12_gut.extra","Micrococcaceae",75.8255932826077,83.3970418940351,1,14.532272429582
"19258","M5147_Bgtw12_gut.extra","Peptostreptococcaceae",48.7607751555469,104.830335191395,3,39.3712373493095
"20239","M5147_Bgtw12_gut.extra","Prevotellaceae",0.336942329237887,0.160139656682931,2,22.2029189007317
"21281","M5147_Bgtw12_gut.extra","Rikenellaceae",0.035892772835688,0.0928861521523978,1,5.37496226672135
"22236","M5147_Bgtw12_gut.extra","Ruminococcaceae",0.538461362893149,0.380762650052519,4,51.7649716620471
"23213","M5147_Bgtw12_gut.extra","Selenomonadaceae",0.185694309732839,0.182518425906081,1,10.0897812626457
"24199","M5147_Bgtw12_gut.extra","Staphylococcaceae",0.236772111319951,0.639521400868164,1,13.0300313486427
"25185","M5147_Bgtw12_gut.extra","Streptococcaceae",5.37479144340309,0.595576817752286,1,6.52946236525928
"26172","M5147_Bgtw12_gut.extra","Succinivibrionaceae",0.0567302293582977,0.342244390300573,1,5.82232813761672
"27156","M5147_Bgtw12_gut.extra","Sutterellaceae",0.0962323312530861,0.214077808566753,1,7.26337894097933
"28147","M5147_Bgtw12_gut.extra","Tannerellaceae",4.90125478647952,12.0649552718128,1,12.5265244171786
"29137","M5147_Bgtw12_gut.extra","Veillonellaceae",93.9198277696588,57.7854518706202,3,41.8652926963855
"21282","M5147_Bgtw12_gut","Actinomycetaceae",0.98822808351141,0.375392316287858,1,21.1506238153483
"31179","M5147_Bgtw12_gut","Atopobiaceae",0.471841180157666,0.190851731965565,2,36.6451920926193
"41154","M5147_Bgtw12_gut","Bacteroidaceae",85.3170732098117,48.7675887918895,1,21.6308992753174
"51096","M5147_Bgtw12_gut","Bifidobacteriaceae",9.6087812692969,0.31340031678352,1,4.44942673171287
"61056","M5147_Bgtw12_gut","Christensenellaceae",0.132641384753838,0.0397259003181088,1,9.53739588777568
"7983","M5147_Bgtw12_gut","Clostridiaceae",0.576126026021737,0.49949178377925,3,62.1821762578837
"8767","M5147_Bgtw12_gut","Clostridiales",0.100640383389347,0.164818540542225,1,12.2514024884845
"9598","M5147_Bgtw12_gut","Coriobacteriaceae",84.3964817885369,98.2305241555236,4,91.1162768321223
"10497","M5147_Bgtw12_gut","Desulfovibrionaceae",0.119372982586643,0.040307865790732,1,8.05756805894303
"11402","M5147_Bgtw12_gut","Eggerthellaceae",258.3514213365,424.004169232616,2,43.7888667130189
