"","est","lower","upper","Study"
"M5142_StL.TW15.2_fecal",-0.722674200219437,-0.795610449224835,-0.649737951214038,"M5142_StL.TW15.2_fecal"
"M5142_StL.TW16.1_fecal",-0.722500844065444,-0.795398960709225,-0.649602727421663,"M5142_StL.TW16.1_fecal"
"M5142_StL.TW16.2_fecal",-0.722531084630647,-0.795435481285958,-0.649626687975335,"M5142_StL.TW16.2_fecal"
"M5142_StL.TW17.1_fecal",-0.722541153662996,-0.795447299895589,-0.649635007430403,"M5142_StL.TW17.1_fecal"
"M5142_StL.TW17.2_fecal",-0.722480238674124,-0.795373230460513,-0.649587246887734,"M5142_StL.TW17.2_fecal"
"M5142_StL.TW18.1_fecal",-0.72269734675212,-0.795640069285921,-0.649754624218319,"M5142_StL.TW18.1_fecal"
"M5142_StL.TW18.2_fecal",-0.722472670599729,-0.795363276496428,-0.64958206470303,"M5142_StL.TW18.2_fecal"
"M5142_StL.TW19.1_fecal",-0.722408839054008,-0.79528510835349,-0.649532569754526,"M5142_StL.TW19.1_fecal"
"M5142_StL.TW19.2_fecal",-0.722357130791223,-0.795222399217552,-0.649491862364893,"M5142_StL.TW19.2_fecal"
"M5142_StL.TW2.1_fecal",-0.72235552896611,-0.795223275288001,-0.649487782644219,"M5142_StL.TW2.1_fecal"
"M5142_StL.TW2.2_fecal",-0.722235776492752,-0.795080863147002,-0.649390689838502,"M5142_StL.TW2.2_fecal"
"M5142_StL.TW20.1_fecal",-0.722179406067299,-0.795010975046869,-0.649347837087729,"M5142_StL.TW20.1_fecal"
"M5142_StL.TW20.2_fecal",-0.722579525368504,-0.795495711619305,-0.649663339117704,"M5142_StL.TW20.2_fecal"
"M5142_StL.TW21.2_fecal",-0.722630259618824,-0.795555623207545,-0.649704896030103,"M5142_StL.TW21.2_fecal"
"M5142_StL.TW23.1_fecal",-0.722271262167311,-0.795122003804763,-0.649420520529859,"M5142_StL.TW23.1_fecal"
"M5142_StL.TW23.2_fecal",-0.722253374389932,-0.795100095034042,-0.649406653745823,"M5142_StL.TW23.2_fecal"
"M5142_StL.TW24.1_fecal",-0.722224805940329,-0.795066065330824,-0.649383546549834,"M5142_StL.TW24.1_fecal"
"M5142_StL.TW24.2_fecal",-0.722285921996095,-0.795138494557938,-0.649433349434253,"M5142_StL.TW24.2_fecal"
"M5142_StL.TW25.1_fecal",-0.722440135405734,-0.795327387782613,-0.649552883028854,"M5142_StL.TW25.1_fecal"
"M5142_StL.TW25.2_fecal",-0.722340947665144,-0.795205328164048,-0.64947656716624,"M5142_StL.TW25.2_fecal"
"M5142_StL.TW26.1_fecal",-0.722491443851507,-0.795387875080524,-0.649595012622491,"M5142_StL.TW26.1_fecal"
"M5142_StL.TW27.1_fecal",-0.72245860298546,-0.795349226894606,-0.649567979076314,"M5142_StL.TW27.1_fecal"
"M5142_StL.TW27.2_fecal",-0.722498860298124,-0.795398783283824,-0.649598937312424,"M5142_StL.TW27.2_fecal"
"M5142_StL.TW28.1_fecal",-0.722426898371158,-0.795309290665693,-0.649544506076623,"M5142_StL.TW28.1_fecal"
"M5142_StL.TW28.2_fecal",-0.722288148179628,-0.795140764847666,-0.64943553151159,"M5142_StL.TW28.2_fecal"
