"","est","lower","upper","Study"
"M4729_ARI.0218_nasopharyngeal",-0.738498891046685,-0.811684883912639,-0.665312898180731,"M4729_ARI.0218_nasopharyngeal"
"M4729_ARI.0237_nasopharyngeal",-0.738118387818345,-0.811263233355547,-0.664973542281142,"M4729_ARI.0237_nasopharyngeal"
"M4729_ARI.0328_nasopharyngeal",-0.737826856818555,-0.810933273064805,-0.664720440572305,"M4729_ARI.0328_nasopharyngeal"
"M4729_ARI.0372_nasopharyngeal",-0.738475331573358,-0.811652950153418,-0.665297712993297,"M4729_ARI.0372_nasopharyngeal"
"M4729_ARI.0410_nasopharyngeal",-0.737977998896735,-0.811108082246715,-0.664847915546754,"M4729_ARI.0410_nasopharyngeal"
"M4729_ARI.0450_nasopharyngeal",-0.737777395872935,-0.810887779874766,-0.664667011871103,"M4729_ARI.0450_nasopharyngeal"
"M4729_ARI.0464_nasopharyngeal",-0.738180540440963,-0.811325224908462,-0.665035855973464,"M4729_ARI.0464_nasopharyngeal"
"M4729_ARI.0483_nasopharyngeal",-0.737869909190029,-0.811004907164899,-0.664734911215159,"M4729_ARI.0483_nasopharyngeal"
"M4729_ARI.0484_nasopharyngeal",-0.738592476834078,-0.811778749145745,-0.665406204522412,"M4729_ARI.0484_nasopharyngeal"
"M4729_ARI.0501_nasopharyngeal",-0.738371650269095,-0.811559143440336,-0.665184157097854,"M4729_ARI.0501_nasopharyngeal"
"M4729_ARI.0585_nasopharyngeal",-0.738465148944632,-0.81166619936374,-0.665264098525523,"M4729_ARI.0585_nasopharyngeal"
"M4729_ARI.0604_nasopharyngeal",-0.737697507939197,-0.810795764564752,-0.664599251313643,"M4729_ARI.0604_nasopharyngeal"
"M4729_ARI.9998_nasopharyngeal",-0.73822872451626,-0.81138693355856,-0.665070515473959,"M4729_ARI.9998_nasopharyngeal"
"M5142_StL.TW10.1_fecal",-0.738259250771345,-0.811388711239848,-0.665129790302842,"M5142_StL.TW10.1_fecal"
"M5142_StL.TW10.2_fecal",-0.73803551620076,-0.811136597281684,-0.664934435119836,"M5142_StL.TW10.2_fecal"
"M5142_StL.TW12.1_fecal",-0.738199783133309,-0.811321516817065,-0.665078049449553,"M5142_StL.TW12.1_fecal"
"M5142_StL.TW12.2_fecal",-0.73806236760143,-0.811164977775142,-0.664959757427718,"M5142_StL.TW12.2_fecal"
"M5142_StL.TW13.1_fecal",-0.737967704481146,-0.811061013426586,-0.664874395535706,"M5142_StL.TW13.1_fecal"
"M5142_StL.TW13.2_fecal",-0.738210848377451,-0.811337718333745,-0.665083978421156,"M5142_StL.TW13.2_fecal"
"M5142_StL.TW14.1_fecal",-0.737892967823675,-0.810981951431039,-0.664803984216311,"M5142_StL.TW14.1_fecal"
"M5142_StL.TW14.2_fecal",-0.738109981884415,-0.811223264343118,-0.664996699425713,"M5142_StL.TW14.2_fecal"
"M5142_StL.TW15.1_fecal",-0.738146614753867,-0.811259703614465,-0.665033525893268,"M5142_StL.TW15.1_fecal"
"M5142_StL.TW15.2_fecal",-0.738594064962073,-0.811773974580135,-0.665414155344011,"M5142_StL.TW15.2_fecal"
"M5142_StL.TW16.1_fecal",-0.738065586043138,-0.811170916152777,-0.6649602559335,"M5142_StL.TW16.1_fecal"
"M5142_StL.TW16.2_fecal",-0.738310732125883,-0.811445841707722,-0.665175622544043,"M5142_StL.TW16.2_fecal"
"M5142_StL.TW17.1_fecal",-0.738225803075842,-0.811350444859235,-0.66510116129245,"M5142_StL.TW17.1_fecal"
"M5142_StL.TW17.2_fecal",-0.73817430953874,-0.811291105984993,-0.665057513092487,"M5142_StL.TW17.2_fecal"
"M5142_StL.TW18.1_fecal",-0.738308483735795,-0.811445234552653,-0.665171732918936,"M5142_StL.TW18.1_fecal"
"M5142_StL.TW18.2_fecal",-0.738110074831172,-0.811218727914779,-0.665001421747564,"M5142_StL.TW18.2_fecal"
"M5142_StL.TW19.1_fecal",-0.738135469767964,-0.811246047239757,-0.665024892296172,"M5142_StL.TW19.1_fecal"
"M5142_StL.TW19.2_fecal",-0.738078276834808,-0.811181451198176,-0.66497510247144,"M5142_StL.TW19.2_fecal"
"M5142_StL.TW2.1_fecal",-0.737892370762302,-0.810978982191164,-0.66480575933344,"M5142_StL.TW2.1_fecal"
"M5142_StL.TW2.2_fecal",-0.737976124853508,-0.811072135246495,-0.66488011446052,"M5142_StL.TW2.2_fecal"
"M5142_StL.TW20.1_fecal",-0.738000615454038,-0.811095651235307,-0.66490557967277,"M5142_StL.TW20.1_fecal"
"M5142_StL.TW20.2_fecal",-0.738442346490379,-0.811599893800634,-0.665284799180123,"M5142_StL.TW20.2_fecal"
"M5142_StL.TW21.2_fecal",-0.738373179883265,-0.811517741851249,-0.665228617915281,"M5142_StL.TW21.2_fecal"
"M5142_StL.TW23.1_fecal",-0.738092502998561,-0.811199372089601,-0.66498563390752,"M5142_StL.TW23.1_fecal"
"M5142_StL.TW23.2_fecal",-0.738122712544001,-0.811234508773108,-0.665010916314893,"M5142_StL.TW23.2_fecal"
"M5142_StL.TW24.1_fecal",-0.737881433172087,-0.810962926587645,-0.66479993975653,"M5142_StL.TW24.1_fecal"
"M5142_StL.TW24.2_fecal",-0.738126453836507,-0.811235525401945,-0.665017382271069,"M5142_StL.TW24.2_fecal"
"M5142_StL.TW25.1_fecal",-0.738168635440575,-0.811290044949297,-0.665047225931853,"M5142_StL.TW25.1_fecal"
"M5142_StL.TW25.2_fecal",-0.738101031181211,-0.811209892592475,-0.664992169769947,"M5142_StL.TW25.2_fecal"
"M5142_StL.TW26.1_fecal",-0.73819856293317,-0.811319492140334,-0.665077633726007,"M5142_StL.TW26.1_fecal"
"M5142_StL.TW27.1_fecal",-0.738181084586423,-0.811303522019844,-0.665058647153002,"M5142_StL.TW27.1_fecal"
"M5142_StL.TW27.2_fecal",-0.738246147329663,-0.811376017517949,-0.665116277141378,"M5142_StL.TW27.2_fecal"
"M5142_StL.TW28.1_fecal",-0.738145364481724,-0.811259677556678,-0.665031051406769,"M5142_StL.TW28.1_fecal"
"M5142_StL.TW28.2_fecal",-0.738134888193405,-0.811246617140567,-0.665023159246242,"M5142_StL.TW28.2_fecal"
"M5142_StL.TW29.1_fecal",-0.7379529414914,-0.811041109803902,-0.664864773178897,"M5142_StL.TW29.1_fecal"
"M5142_StL.TW29.2_fecal",-0.737969608645103,-0.811062025074695,-0.66487719221551,"M5142_StL.TW29.2_fecal"
"M5142_StL.TW3.1_fecal",-0.738503913994949,-0.811666752410447,-0.665341075579451,"M5142_StL.TW3.1_fecal"
"M5142_StL.TW3.2_fecal",-0.738061334250601,-0.811164859235571,-0.664957809265632,"M5142_StL.TW3.2_fecal"
"M5142_StL.TW30.1_fecal",-0.73797964542097,-0.811071687597827,-0.664887603244112,"M5142_StL.TW30.1_fecal"
"M5142_StL.TW30.2_fecal",-0.738098176915108,-0.811208729089781,-0.664987624740436,"M5142_StL.TW30.2_fecal"
"M5142_StL.TW32.1_fecal",-0.738025623182504,-0.811125490848927,-0.664925755516081,"M5142_StL.TW32.1_fecal"
"M5142_StL.TW32.2_fecal",-0.738103018253632,-0.811213447565039,-0.664992588942224,"M5142_StL.TW32.2_fecal"
"M5142_StL.TW33.1_fecal",-0.738103468351413,-0.811209557736632,-0.664997378966194,"M5142_StL.TW33.1_fecal"
"M5142_StL.TW33.2_fecal",-0.73830373468489,-0.811439627191066,-0.665167842178715,"M5142_StL.TW33.2_fecal"
"M5142_StL.TW35.1_fecal",-0.738131596396461,-0.811243413051815,-0.665019779741107,"M5142_StL.TW35.1_fecal"
"M5142_StL.TW35.2_fecal",-0.738199277151688,-0.811318553957039,-0.665080000346338,"M5142_StL.TW35.2_fecal"
"M5142_StL.TW36.1_fecal",-0.738104878131884,-0.811215160450732,-0.664994595813035,"M5142_StL.TW36.1_fecal"
"M5142_StL.TW36.2_fecal",-0.737978429299696,-0.811074494498158,-0.664882364101234,"M5142_StL.TW36.2_fecal"
"M5142_StL.TW37.1_fecal",-0.738116547360664,-0.811226038559387,-0.665007056161941,"M5142_StL.TW37.1_fecal"
"M5142_StL.TW37.2_fecal",-0.738037339166755,-0.811138148079236,-0.664936530254274,"M5142_StL.TW37.2_fecal"
"M5142_StL.TW39.1_fecal",-0.73801457483422,-0.811112825426402,-0.664916324242037,"M5142_StL.TW39.1_fecal"
"M5142_StL.TW39.2_fecal",-0.738031485678909,-0.811132433332488,-0.664930538025329,"M5142_StL.TW39.2_fecal"
"M5142_StL.TW4.1_fecal",-0.738165727818359,-0.81128200140834,-0.665049454228378,"M5142_StL.TW4.1_fecal"
"M5142_StL.TW4.2_fecal",-0.738179941050452,-0.811296612226487,-0.665063269874417,"M5142_StL.TW4.2_fecal"
"M5142_StL.TW40.1_fecal",-0.738190330070166,-0.81130657784064,-0.665074082299692,"M5142_StL.TW40.1_fecal"
"M5142_StL.TW40.2_fecal",-0.738389729320465,-0.811534697744335,-0.665244760896595,"M5142_StL.TW40.2_fecal"
"M5142_StL.TW42.1_fecal",-0.73810266531908,-0.811210197578763,-0.664995133059397,"M5142_StL.TW42.1_fecal"
"M5142_StL.TW42.2_fecal",-0.738124882358538,-0.811235134101191,-0.665014630615886,"M5142_StL.TW42.2_fecal"
"M5142_StL.TW43.1_fecal",-0.738367078004143,-0.811509732668088,-0.665224423340198,"M5142_StL.TW43.1_fecal"
"M5142_StL.TW43.2_fecal",-0.738062609668631,-0.81116568562529,-0.664959533711973,"M5142_StL.TW43.2_fecal"
"M5142_StL.TW44.1_fecal",-0.7380163945518,-0.811116930340057,-0.664915858763544,"M5142_StL.TW44.1_fecal"
"M5142_StL.TW44.2_fecal",-0.738086681353503,-0.811192433337342,-0.664980929369665,"M5142_StL.TW44.2_fecal"
"M5142_StL.TW45.1_fecal",-0.738013496554631,-0.811116160105451,-0.66491083300381,"M5142_StL.TW45.1_fecal"
