sample_accession	Group	collection_date	INSDC secondary accession	Unique Index	organism	env_broad_scale	Baseline	env_local_scale	Subject ID	NCBI submission package	Antibiotics	geo_loc_name	Day	env_medium	lat_lon	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	Gender	Type	Days	Stage	Subject.ID	Age
SAMN10871518																								
SAMN11251507																								
SAMN11251536																								
SAMN11251550																								
SAMN11251379																								
SAMN10871657																								
SAMN10871651																								
SAMN10871648																								
SAMN10871652																								
SAMN10871327																								
SAMN10871321																								
SAMN10871322																								
SAMN10871323																								
SAMN11251465																								
SAMN11251468																								
SAMN11251409																								
SAMN11251464																								
SAMN11251407																								
SAMN11251124																								
SAMN11251127																								
SAMN11251129																								
SAMN11251511																								
SAMN10871609																								
SAMN10871557																								
SAMN10871678																								
SAMN11251503																								
SAMN11251500																								
SAMN11251574																								
SAMN11251361																								
SAMN11251362																								
SAMN11251364																								
SAMN11251365																								
SAMN11251368																								
SAMN10871309																								
SAMN10871313																								
SAMN10871312																								
SAMN10871317																								
SAMN11251372																								
SAMN11251371																								
SAMN11251374																								
SAMN11251373																								
SAMN11251376																								
SAMN11251378																								
SAMN11251377																								
SAMN11251087																								
SAMN11251086																								
SAMN10871600																								
SAMN10871516																								
SAMN10871517																								
SAMN10871510																								
SAMN10871508																								
SAMN10871513																								
SAMN11251570																								
SAMN11251136																								
SAMN11251531																								
SAMN11251527																								
SAMN11251529																								
SAMN11251528																								
SAMN11251540																								
SAMN11251525																								
SAMN11251440																								
SAMN10871383																								
SAMN10871378																								
SAMN11251471																								
SAMN11251097																								
SAMN11251095																								
SAMN11251093																								
SAMN11251091																								
SAMN11251449																								
SAMN11251450																								
SAMN10871627																								
SAMN10871621																								
SAMN10871618																								
SAMN10871622																								
SAMN10871542																								
SAMN10871544																								
SAMN10871390																								
SAMN10871547																								
SAMN10871546																								
SAMN10871693																								
SAMN10871690																								
SAMN10871689																								
SAMN11251469																								
SAMN11251360																								
SAMN11251400																								
SAMN11251516																								
SAMN11251510																								
SAMN11251392																								
SAMN11251391																								
SAMN11251398																								
SAMN11251396																								
SAMN10871346																								
SAMN10871347																								
SAMN10871338																								
SAMN10871344																								
SAMN11251564																								
SAMN10871396																								
SAMN11251354																								
SAMN11251352																								
SAMN11251490																								
SAMN11251488																								
SAMN11251487																								
SAMN11251054																								
SAMN11251060																								
SAMN10871302																								
SAMN10871305																								
SAMN11251382																								
SAMN10871506																								
SAMN11251568																								
SAMN10871499																								
SAMN10871501																								
SAMN10871500																								
SAMN10871505																								
SAMN11251149																								
SAMN11251144																								
SAMN11251143																								
SAMN11251145																								
SAMN11251147																								
SAMN10871590																								
SAMN10871669																								
SAMN10871673																								
SAMN10871674																								
SAMN10871576																								
SAMN10871671																								
SAMN10871573																								
SAMN10871677																								
SAMN10871571																								
SAMN10871568																								
SAMN10871676																								
SAMN11251441																								
SAMN11251442																								
SAMN11251443																								
SAMN11251446																								
SAMN11251553																								
SAMN11251427																								
SAMN11251428																								
SAMN11251426																								
SAMN11251423																								
SAMN11251424																								
SAMN11251422																								
SAMN11251429																								
SAMN10871372																								
SAMN10871377																								
SAMN11251523																								
SAMN10871395																								
SAMN10871394																								
SAMN11251108																								
SAMN11251101																								
SAMN11251104																								
SAMN10871637																								
SAMN10871636																								
SAMN11251434																								
SAMN11251432																								
SAMN10871629																								
SAMN10871633																								
SAMN10871635																								
SAMN10871533																								
SAMN10871536																								
SAMN10871387																								
SAMN11251524																								
SAMN11251389																								
SAMN10871646																								
SAMN10871644																								
SAMN10871638																								
SAMN10871336																								
SAMN10871328																								
SAMN10871331																								
SAMN10871332																								
SAMN11251437																								
SAMN11251582																								
SAMN11251457																								
SAMN11251454																								
SAMN11251451																								
SAMN11251460																								
SAMN11251065																								
SAMN11251070																								
SAMN11251555																								
SAMN11251556																								
SAMN11251533																								
SAMN11251532																								
SAMN11251115																								
SAMN11251117																								
SAMN11251118																								
SAMN11251113																								
SAMN11251120																								
SAMN10871578																								
SAMN10871583																								
SAMN10871585																								
SAMN10871567																								
SAMN10871604																								
SAMN10871559																								
SAMN11251493																								
SAMN11251496																								
SAMN11251573																								
SAMN11251415																								
SAMN11251412																								
SAMN11251411																								
SAMN11251414																								
SAMN11251413																								
SAMN11251419																								
SAMN10871363																								
SAMN10871360																								
SAMN10871359																								
SAMN10871366																								
