sample_accession	strain	collection_date	isol_growth_condt	organism	env_broad_scale	BioSampleModel	samp_store_temp	samp_collect_device	env_local_scale	host_age_days	host_subject_id	isolate	ENA-FIRST-PUBLIC	cultivar	ENA-LAST-UPDATE	samp_vol_we_dna_ext	host	geo_loc_name	ecotype	env_medium	lat_lon	DNA extraction kit	INSDC secondary accession	control identifier	WRrepeats	sex	16S rRNA gene copies per ul	tissue	Read counts following bioinformatics	sample_type	NCBI submission package	BRrepeats	Read counts from sequencer	age	biomaterial_provider	isolation_source
SAMN25694541																																				
SAMN25694538																																				
SAMN25694531																																				
SAMN25694530																																				
SAMN25694525																																				
SAMN25694597																																				
SAMN25694560																																				
SAMN25694559																																				
SAMN25694553																																				
SAMN25694551																																				
SAMN25694550																																				
SAMN25694548																																				
SAMN25694547																																				
SAMN25694544																																				
SAMN25694515																																				
SAMN25820296																																				
SAMN12045689																																				
SAMN25820356																																				
SAMN25820354																																				
SAMN25820351																																				
SAMN25820346																																				
SAMN25820324																																				
SAMN25820320																																				
SAMN25820316																																				
SAMN25820315																																				
SAMN25820311																																				
SAMN25820387																																				
SAMN25820383																																				
SAMN25820380																																				
SAMN25820306																																				
SAMN25820305																																				
SAMN25820304																																				
SAMN25820433																																				
SAMN25820429																																				
SAMN25820428																																				
SAMN25820426																																				
SAMN25820425																																				
SAMN25820424																																				
SAMN25820423																																				
SAMN25820422																																				
SAMN25820376																																				
SAMN25820373																																				
SAMN25820371																																				
SAMN25820369																																				
SAMN25820368																																				
SAMN25820297																																				
SAMN25820367																																				
SAMN25820362																																				
SAMN25820416																																				
SAMN25820409																																				
SAMN25820408																																				
SAMN25820407																																				
SAMN25820341																																				
SAMN25820338																																				
SAMN25820334																																				
SAMN25820330																																				
SAMN25820329																																				
SAMN25820402																																				
SAMN25820400																																				
SAMN25820396																																				
SAMN25820395																																				
SAMN25761945																																				
SAMN25761944																																				
SAMN25761941																																				
SAMN25761936																																				
SAMN25761935																																				
SAMN25761934																																				
SAMN25761933																																				
SAMN25761931																																				
SAMN25761989																																				
SAMN25761985																																				
SAMN25761984																																				
SAMN25761983																																				
SAMN25761928																																				
SAMN25761923																																				
SAMN25761921																																				
SAMN25761915																																				
SAMN25761914																																				
SAMN25761964																																				
SAMN25761963																																				
SAMN25761961																																				
SAMN25761960																																				
SAMN25761959																																				
SAMN25761958																																				
SAMN25761956																																				
SAMN25761955																																				
SAMN25761947																																				
SAMN25761905																																				
SAMN25762013																																				
SAMN25762011																																				
SAMN25762010																																				
SAMN25762009																																				
SAMN25762008																																				
SAMN25761973																																				
SAMN25761966																																				
SAMN25761910																																				
SAMN25762040																																				
SAMN25762038																																				
SAMN25762037																																				
SAMN25762034																																				
SAMN25762032																																				
SAMN25762030																																				
SAMN25762002																																				
SAMN25761903																																				
SAMN25762000																																				
SAMN25761999																																				
SAMN25761995																																				
SAMN25761994																																				
SAMN25761893																																				
SAMN25820595																																				
SAMN25820593																																				
SAMN25820591																																				
SAMN25820585																																				
SAMN25820584																																				
SAMN25820583																																				
SAMN25820582																																				
SAMN25820555																																				
SAMN25820559																																				
SAMN25820558																																				
SAMN25820604																																				
SAMN25820599																																				
SAMN25820598																																				
SAMN25820578																																				
SAMN25820577																																				
SAMN25820575																																				
SAMN25820574																																				
SAMN25820554																																				
SAMN25820571																																				
SAMN25820569																																				
SAMN25820567																																				
SAMN25820562																																				
SAMN24247712																																				
SAMN24247709																																				
SAMN24247708																																				
SAMN24247703																																				
SAMN24247701																																				
SAMN24247636																																				
SAMN24247693																																				
SAMN24247690																																				
SAMN24247689																																				
SAMN24247687																																				
SAMN24247686																																				
SAMN24247688																																				
SAMN24247682																																				
SAMN24247634																																				
SAMN24247650																																				
SAMN24247631																																				
SAMN24247648																																				
SAMN24247644																																				
SAMN24247643																																				
SAMN24247767																																				
SAMN24247766																																				
SAMN24247729																																				
SAMN24247728																																				
SAMN24247727																																				
SAMN24247722																																				
SAMN24247721																																				
SAMN24247716																																				
SAMN24247719																																				
SAMN24247674																																				
SAMN24247673																																				
SAMN24247672																																				
SAMN24247670																																				
SAMN24247669																																				
SAMN24247633																																				
SAMN24247667																																				
SAMN24247662																																				
SAMN24247661																																				
SAMN24247762																																				
SAMN24247761																																				
SAMN24247759																																				
SAMN24247758																																				
SAMN24247757																																				
SAMN24247756																																				
SAMN24247751																																				
SAMN24247748																																				
SAMN24247747																																				
SAMN24247742																																				
SAMN24247740																																				
SAMN24247737																																				
SAMN24247736																																				
SAMN24247639																																				
SAMN25079335																																				
SAMN25079332																																				
SAMN25079328																																				
SAMN25079322																																				
SAMN25079321																																				
SAMN25079319																																				
SAMN25079263																																				
SAMN25079260																																				
SAMN25079391																																				
SAMN25079386																																				
SAMN25079383																																				
SAMN25079380																																				
SAMN25079378																																				
SAMN25079317																																				
SAMN25079315																																				
SAMN25079314																																				
SAMN25079251																																				
SAMN25079304																																				
SAMN25079302																																				
SAMN25079301																																				
SAMN25079377																																				
SAMN25079376																																				
SAMN25079375																																				
SAMN25079373																																				
SAMN25079359																																				
SAMN25079356																																				
SAMN25079355																																				
SAMN25079354																																				
SAMN25079255																																				
SAMN25079347																																				
SAMN25079245																																				
SAMN25174423																																				
SAMN25174422																																				
SAMN25174421																																				
SAMN25174420																																				
SAMN25174460																																				
SAMN25174459																																				
SAMN25174457																																				
SAMN25174456																																				
SAMN25174455																																				
SAMN25174454																																				
SAMN25174453																																				
SAMN25174446																																				
SAMN25174445																																				
SAMN25174381																																				
SAMN25174509																																				
SAMN25174508																																				
SAMN25174507																																				
SAMN25174506																																				
SAMN25174501																																				
SAMN25174497																																				
SAMN25174495																																				
SAMN25174386																																				
SAMN25174493																																				
SAMN25174442																																				
SAMN25174440																																				
SAMN25174439																																				
SAMN25174435																																				
SAMN25174380																																				
SAMN25174433																																				
SAMN25174432																																				
SAMN25174431																																				
SAMN25174427																																				
SAMN25174488																																				
SAMN25174487																																				
SAMN25174486																																				
