sample_accession	collection_date	INSDC secondary accession	NCBI submission package	organism	geo_loc_name	lat_lon	isolation_source	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
SAMN06209839	2013-07-26	SRS1910905	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209773	2013-03-04	SRS1910906	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209810	2012-09-28	SRS1910907	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209837	2013-04-24	SRS1910911	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209803	2013-06-24	SRS1910914	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209779	2013-03-29	SRS1910920	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209785	2013-10-07	SRS1910928	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209822	2012-09-19	SRS1910931	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_F	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209835	2013-03-25	SRS1910936	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209761	2012-11-05	SRS1910942	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209769	2013-02-11	SRS1910949	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209802	2013-05-17	SRS1910834	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209768	2013-02-04	SRS1910835	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209787	2013-10-11	SRS1910843	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209760	2012-11-02	SRS1910845	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209730	2012-08-10	SRS1910848	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_A	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209791	2013-10-21	SRS1910849	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209759	2012-10-29	SRS1910850	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209753	2013-06-26	SRS1910854	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209836	2013-04-10	SRS1910856	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209800	2013-03-11	SRS1910864	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209770	2013-02-20	SRS1910870	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209780	2013-09-16	SRS1910871	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209845	2013-05-29	SRS1910873	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
