sample_accession	collection_date	INSDC secondary accession	NCBI submission package	organism	host	geo_loc_name	lat_lon	samp_collect_device	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
SAMN11103845	2014-10-01T00:03:35Z	SRS4474651	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103861	2014-10-01T00:03:51Z	SRS4474649	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103869	2014-10-01T00:03:59Z	SRS4474646	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103731	2014-10-01T00:01:41Z	SRS4474638	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103739	2014-10-01T00:01:49Z	SRS4474636	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103732	2014-10-01T00:01:42Z	SRS4474639	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103702	2014-10-01T00:01:12Z	SRS4474634	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103700	2014-10-01T00:01:10Z	SRS4474632	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104032	2014-10-01T00:06:42Z	SRS4474620	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104034	2014-10-01T00:06:44Z	SRS4474614	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104035	2014-10-01T00:06:45Z	SRS4474613	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103887	2014-10-01T00:04:17Z	SRS4474606	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103886	2014-10-01T00:04:16Z	SRS4474605	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103880	2014-10-01T00:04:10Z	SRS4474599	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103947	2014-10-01T00:05:17Z	SRS4474597	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
