sample_accession	collection_date	env_feature	INSDC secondary accession	organism	host_body_product	host_subject_id	birthweight	NCBI submission package	env_material	host_sex	host	geo_loc_name	host_day_of_life	env_biome	lat_lon	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	isolation_source
SAMN04436917																			
SAMN04436840																			
SAMN04436958																			
SAMN04436900																			
SAMN04436709																			
SAMN04436912																			
SAMN04436819																			
SAMN04436979																			
SAMN04436764																			
SAMN04436969																			
SAMN04436783																			
SAMN04436923																			
SAMN04436837																			
SAMN04436685																			
SAMN04436946																			
SAMN04436980																			
SAMN04436895																			
SAMN04436674																			
SAMN04436707																			
SAMN04436864																			
SAMN04436754																			
SAMN04436851																			
SAMN04436826																			
SAMN04436898																			
SAMN04436863																			
SAMN04436817																			
SAMN04436945																			
SAMN04436795																			
SAMN04436791																			
SAMN04436972																			
SAMN04436591																			
SAMN04436642																			
SAMN04436975																			
SAMN04436645																			
SAMN04436697																			
SAMN04436937																			
SAMN04436596																			
SAMN04436606																			
SAMN04436928																			
SAMN04436756																			
SAMN04436692																			
SAMN04436604																			
SAMN04436823																			
SAMN04436984																			
SAMN04436802																			
SAMN04436644																			
SAMN04436616																			
SAMN04436787																			
SAMN04436834																			
SAMN04436758																			
SAMN04436668																			
SAMN04436673																			
SAMN04436652																			
SAMN04436899																			
SAMN04436847																			
SAMN04436699																			
SAMN04436757																			
SAMN04436836																			
SAMN04436650																			
SAMN04436780																			
SAMN04436916																			
SAMN04436985																			
SAMN04436708																			
SAMN04436868																			
SAMN04436611																			
SAMN04436907																			
SAMN04436649																			
SAMN04436938																			
SAMN04436965																			
SAMN04436798																			
SAMN04436747																			
SAMN04436594																			
SAMN04436952																			
SAMN04436966																			
SAMN04436739																			
SAMN04436809																			
SAMN04436718																			
SAMN04436659																			
SAMN04436981																			
SAMN04436930																			
SAMN04436890																			
SAMN04436732																			
SAMN04436777																			
SAMN04436871																			
SAMN04436735																			
SAMN04436680																			
SAMN04436620																			
SAMN04436801																			
SAMN04436867																			
SAMN04436978																			
SAMN04436667																			
SAMN04436601																			
SAMN04436824																			
SAMN04436610																			
SAMN04436714																			
SAMN04436781																			
SAMN04436935																			
SAMN04436954																			
SAMN04436726																			
SAMN04436626																			
SAMN04436874																			
SAMN04436986																			
SAMN04436658																			
SAMN04436647																			
SAMN04436968																			
SAMN04436893																			
SAMN04436669																			
SAMN04436816																			
SAMN04436751																			
SAMN04436888																			
SAMN04436959																			
SAMN04436964																			
SAMN04436784																			
SAMN04436648																			
SAMN04436967																			
SAMN04436742																			
SAMN04436920																			
SAMN04436593																			
SAMN04436748																			
SAMN04436943																			
SAMN04436627																			
SAMN04436640																			
SAMN04436778																			
SAMN04436950																			
SAMN04436734																			
SAMN04436866																			
SAMN04436722																			
SAMN04436833																			
SAMN04436948																			
SAMN04436613																			
SAMN04436763																			
SAMN04436665																			
SAMN04436693																			
SAMN04436821																			
SAMN04436977																			
SAMN04436637																			
SAMN04436931																			
SAMN04436688																			
SAMN04436861																			
SAMN04436953																			
SAMN04436628																			
SAMN04436897																			
SAMN04436810																			
SAMN04436681																			
SAMN04436913																			
SAMN04436825																			
SAMN04436987																			
SAMN04436765																			
SAMN04436750																			
SAMN04436807																			
SAMN04436894																			
SAMN04436955																			
SAMN04436705																			
SAMN04436848																			
SAMN04436919																			
SAMN04436892																			
SAMN04436662																			
SAMN04436689																			
SAMN04436973																			
SAMN04436767																			
SAMN04436595																			
SAMN04436911																			
SAMN04436896																			
SAMN04436740																			
SAMN04440569																			
SAMN04436655																			
SAMN04440571																			
SAMN04436947																			
SAMN04440574																			
SAMN04436918																			
SAMN04436903																			
SAMN04436687																			
SAMN04436672																			
SAMN04440577																			
SAMN04440578																			
SAMN04436657																			
SAMN04436797																			
SAMN04436902																			
SAMN04436624																			
SAMN04436661																			
SAMN04436873																			
SAMN04440587																			
SAMN04436800																			
SAMN04436738																			
SAMN04436818																			
SAMN04436676																			
SAMN04436721																			
SAMN04436741																			
SAMN04436982																			
SAMN04436853																			
SAMN04436872																			
SAMN04436728																			
SAMN04436695																			
SAMN04436921																			
SAMN04436936																			
SAMN04436926																			
SAMN04436643																			
SAMN04436859																			
SAMN04436934																			
SAMN04436794																			
SAMN04436598																			
SAMN04436869																			
SAMN04436651																			
SAMN04436876																			
SAMN04436905																			
SAMN04436835																			
SAMN04436976																			
SAMN04436706																			
SAMN04436929																			
SAMN04436891																			
SAMN04436736																			
SAMN04436759																			
SAMN04436854																			
SAMN04436951																			
SAMN04436843																			
SAMN04436879																			
SAMN04436753																			
SAMN04440568																			
SAMN04436719																			
SAMN04436715																			
SAMN04436960																			
SAMN04436733																			
SAMN04436885																			
SAMN04436631																			
SAMN04436768																			
SAMN04436944																			
SAMN04436792																			
SAMN04436927																			
SAMN04436941																			
SAMN04436618																			
SAMN04436828																			
SAMN04436915																			
SAMN04436682																			
SAMN04436623																			
SAMN04436922																			
SAMN04436831																			
SAMN04440572																			
SAMN04436656																			
SAMN04440576																			
SAMN04440579																			
SAMN04440580																			
SAMN04440581																			
SAMN04436744																			
SAMN04436599																			
SAMN04440584																			
SAMN04440588																			
SAMN04436939																			
SAMN04436737																			
SAMN04436860																			
SAMN04436949																			
SAMN04436727																			
SAMN04436696																			
SAMN04436841																			
SAMN04436713																			
SAMN04436808																			
SAMN04436852																			
SAMN04436820																			
SAMN04436776																			
SAMN04436963																			
SAMN04436633																			
SAMN04436962																			
SAMN04436660																			
SAMN04436878																			
SAMN04436625																			
SAMN04436636																			
SAMN04436806																			
SAMN04436814																			
SAMN04436775																			
SAMN04436760																			
SAMN04436731																			
SAMN04436774																			
SAMN04436845																			
SAMN04436663																			
SAMN04436592																			
SAMN04436664																			
SAMN04436796																			
SAMN04436698																			
SAMN04436855																			
SAMN04436773																			
SAMN04436704																			
SAMN04436914																			
SAMN04436700																			
SAMN04436766																			
SAMN04436772																			
SAMN04436910																			
SAMN04436990																			
SAMN04436971																			
SAMN04436875																			
SAMN04436942																			
SAMN04436882																			
SAMN04436745																			
SAMN04436849																			
SAMN04436761																			
SAMN04436870																			
SAMN04436755																			
SAMN04436846																			
SAMN04436827																			
SAMN04436877																			
SAMN04436974																			
SAMN04436805																			
SAMN04436988																			
SAMN04436786																			
SAMN04436782																			
SAMN04436886																			
SAMN04436730																			
SAMN04436889																			
SAMN04436638																			
SAMN04436812																			
SAMN04436811																			
SAMN04436865																			
SAMN04436815																			
SAMN04436932																			
SAMN04436838																			
SAMN04436723																			
SAMN04436858																			
SAMN04436788																			
SAMN04436710																			
SAMN04436724																			
SAMN04436970																			
SAMN04436712																			
SAMN04436957																			
SAMN04436785																			
SAMN04436880																			
SAMN04436691																			
SAMN04436956																			
SAMN04436694																			
SAMN04436701																			
SAMN04436746																			
SAMN04436725																			
SAMN04436653																			
SAMN04436690																			
