sample_accession	strain	collection_date	isol_growth_condt	env_feature	INSDC secondary accession	organism	host_fev1	isolate	host_age	NCBI submission package	cultivar	env_material	host_clinical_state	host	geo_loc_name	ecotype	env_biome	lat_lon	host_disease_aggressiveness	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
SAMN08204265																						
SAMN08204442																						
SAMN08204104																						
SAMN08204102																						
SAMN08204417																						
SAMN08204456																						
SAMN08204458																						
SAMN08204271																						
SAMN08204457																						
SAMN08203918																						
SAMN08204105																						
SAMN08204423																						
SAMN08204426																						
SAMN08204429																						
SAMN08204449																						
SAMN08204425																						
SAMN08204275																						
SAMN08204277																						
SAMN08204279																						
SAMN08204280																						
SAMN08204437																						
SAMN08204043																						
SAMN08204427																						
SAMN08204365																						
SAMN08204366																						
SAMN08204048																						
SAMN08204368																						
SAMN08204019																						
SAMN08204421																						
SAMN08204363																						
SAMN08204301																						
SAMN08204017																						
SAMN08204307																						
SAMN08204012																						
SAMN08204359																						
SAMN08204446																						
SAMN08204310																						
SAMN08204027																						
SAMN08204082																						
SAMN08204087																						
SAMN08204085																						
SAMN08204188																						
SAMN08204089																						
SAMN08204183																						
SAMN08203880																						
SAMN08203878																						
SAMN08203877																						
SAMN08203875																						
SAMN08203879																						
SAMN08203871																						
SAMN08204192																						
SAMN08204198																						
SAMN08204007																						
SAMN08204009																						
SAMN08204347																						
SAMN08204350																						
SAMN08204348																						
SAMN08204404																						
SAMN08203971																						
SAMN08203975																						
SAMN08203972																						
SAMN08204108																						
SAMN08204028																						
SAMN08204110																						
SAMN08204106																						
SAMN08204022																						
SAMN08204452																						
SAMN08204078																						
SAMN08204074																						
SAMN08204430																						
SAMN08204071																						
SAMN08204077																						
SAMN08203861																						
SAMN08203865																						
SAMN08203864																						
SAMN08203862																						
SAMN08204143																						
SAMN08204141																						
SAMN08204147																						
SAMN08203869																						
SAMN08204146																						
SAMN08204203																						
SAMN08204207																						
SAMN08204204																						
SAMN08204335																						
SAMN08204338																						
SAMN08204334																						
SAMN08204339																						
SAMN08204373																						
SAMN08203987																						
SAMN08203986																						
SAMN08203984																						
SAMN08203990																						
SAMN08204155																						
SAMN08204151																						
SAMN08204158																						
SAMN08204317																						
SAMN08204306																						
SAMN08204160																						
SAMN08204313																						
SAMN08204314																						
SAMN08204302																						
SAMN08204318																						
SAMN08204305																						
SAMN08204303																						
SAMN08204309																						
SAMN08204444																						
SAMN08204443																						
SAMN08203908																						
SAMN08203904																						
SAMN08203909																						
SAMN08204447																						
SAMN08203903																						
SAMN08204445																						
SAMN08203901																						
SAMN08203907																						
SAMN08203910																						
SAMN08204247																						
SAMN08204241																						
SAMN08204025																						
SAMN08204248																						
SAMN08204242																						
SAMN08204261																						
SAMN08204023																						
SAMN08204399																						
SAMN08204395																						
SAMN08204024																						
SAMN08204291																						
SAMN08204030																						
SAMN08203928																						
SAMN08204021																						
SAMN08203929																						
SAMN08204076																						
SAMN08204073																						
SAMN08204380																						
SAMN08204379																						
SAMN08204369																						
SAMN08203936																						
SAMN08203930																						
SAMN08204378																						
SAMN08204067																						
SAMN08204064																						
SAMN08204069																						
SAMN08204066																						
SAMN08204136																						
SAMN08204189																						
SAMN08204216																						
SAMN08204219																						
SAMN08204213																						
SAMN08204075																						
SAMN08203950																						
SAMN08204079																						
SAMN08204424																						
SAMN08203866																						
SAMN08203942																						
SAMN08203947																						
SAMN08203945																						
SAMN08203943																						
SAMN08204152																						
SAMN08204474																						
SAMN08203867																						
SAMN08204473																						
SAMN08204208																						
SAMN08204145																						
SAMN08204206																						
SAMN08204337																						
SAMN08204340																						
SAMN08204371																						
SAMN08204374																						
SAMN08204372																						
SAMN08204376																						
SAMN08203981																						
SAMN08204157																						
SAMN08204478																						
SAMN08203855																						
SAMN08203905																						
SAMN08204316																						
SAMN08203902																						
SAMN08204249																						
SAMN08204246																						
SAMN08204269																						
SAMN08204264																						
SAMN08204262																						
SAMN08204270																						
SAMN08204361																						
SAMN08204393																						
SAMN08204292																						
SAMN08204296																						
SAMN08204298																						
SAMN08204300																						
SAMN08203924																						
SAMN08203922																						
SAMN08203926																						
SAMN08203925																						
SAMN08203921																						
SAMN08203923																						
SAMN08204370																						
SAMN08204061																						
SAMN08204068																						
SAMN08204190																						
SAMN08204138																						
SAMN08204131																						
SAMN08204215																						
SAMN08204132																						
SAMN08204211																						
SAMN08204181																						
SAMN08203949																						
SAMN08204212																						
SAMN08203941																						
SAMN08204401																						
SAMN08203946																						
SAMN08204156																						
SAMN08203857																						
SAMN08203852																						
SAMN08203858																						
SAMN08204479																						
SAMN08204476																						
SAMN08204154																						
SAMN08204311																						
SAMN08204460																						
SAMN08204387																						
SAMN08204312																						
SAMN08204388																						
SAMN08204459																						
SAMN08204153																						
SAMN08204384																						
SAMN08203960																						
SAMN08204390																						
SAMN08204168																						
SAMN08204389																						
SAMN08204165																						
SAMN08204320																						
SAMN08204385																						
SAMN08204381																						
SAMN08204386																						
SAMN08203951																						
SAMN08203952																						
SAMN08204161																						
SAMN08203900																						
SAMN08204169																						
SAMN08204166																						
SAMN08203893																						
SAMN08203896																						
SAMN08204162																						
SAMN08203892																						
SAMN08204164																						
SAMN08203894																						
SAMN08203895																						
SAMN08204260																						
SAMN08204254																						
SAMN08203898																						
SAMN08203860																						
SAMN08204109																						
SAMN08203992																						
SAMN08204252																						
SAMN08203991																						
SAMN08203997																						
SAMN08203999																						
SAMN08204394																						
SAMN08204259																						
SAMN08204255																						
SAMN08203993																						
SAMN08204398																						
SAMN08204000																						
SAMN08204397																						
SAMN08204396																						
SAMN08204392																						
SAMN08204229																						
SAMN08204322																						
SAMN08204321																						
SAMN08204328																						
SAMN08204326																						
SAMN08204325																						
SAMN08203914																						
SAMN08203913																						
SAMN08203919																						
SAMN08204239																						
SAMN08204231																						
SAMN08204238																						
SAMN08204240																						
SAMN08204054																						
SAMN08204129																						
SAMN08204451																						
SAMN08204125																						
SAMN08204330																						
SAMN08204128																						
SAMN08204126																						
SAMN08203933																						
SAMN08203934																						
SAMN08204323																						
SAMN08203938																						
SAMN08203931																						
SAMN08204133																						
SAMN08204461																						
SAMN08203912																						
SAMN08204039																						
SAMN08204035																						
SAMN08204040																						
SAMN08204140																						
SAMN08204440																						
SAMN08203969																						
SAMN08203961																						
SAMN08203963																						
SAMN08203965																						
SAMN08204094																						
SAMN08204098																						
SAMN08204171																						
SAMN08204176																						
SAMN08204175																						
SAMN08203888																						
SAMN08203884																						
SAMN08204290																						
SAMN08204286																						
SAMN08204283																						
SAMN08204287																						
SAMN08204268																						
SAMN08204120																						
SAMN08204113																						
SAMN08204111																						
SAMN08204210																						
SAMN08204118																						
SAMN08204202																						
SAMN08203859																						
SAMN08204201																						
SAMN08204471																						
SAMN08204416																						
SAMN08204418																						
SAMN08204420																						
SAMN08204415																						
SAMN08204411																						
SAMN08204419																						
SAMN08204455																						
SAMN08204273																						
SAMN08204278																						
SAMN08204276																						
SAMN08204431																						
SAMN08204041																						
SAMN08204438																						
SAMN08204045																						
SAMN08204047																						
SAMN08204367																						
SAMN08204050																						
SAMN08204020																						
SAMN08204014																						
SAMN08204011																						
SAMN08204081																						
SAMN08204186																						
SAMN08204187																						
SAMN08204185																						
SAMN08204084																						
SAMN08203876																						
SAMN08203873																						
SAMN08204199																						
SAMN08204191																						
SAMN08204354																						
SAMN08204006																						
SAMN08204195																						
SAMN08204010																						
SAMN08204410																						
SAMN08204001																						
SAMN08204342																						
SAMN08204343																						
SAMN08204345																						
SAMN08204349																						
SAMN08204346																						
SAMN08204406																						
SAMN08204408																						
SAMN08203973																						
SAMN08203974																						
SAMN08204407																						
SAMN08203978																						
SAMN08204402																						
SAMN08204222																						
SAMN08204107																						
SAMN08204256																						
SAMN08204101																						
SAMN08204103																						
SAMN08204360																						
SAMN08204422																						
SAMN08204428																						
SAMN08204308																						
SAMN08204304																						
SAMN08204448																						
SAMN08204029																						
SAMN08204026																						
SAMN08204072																						
SAMN08203863																						
SAMN08204080																						
SAMN08203868																						
SAMN08203870																						
SAMN08204148																						
SAMN08204209																						
SAMN08204144																						
SAMN08204150																						
SAMN08204149																						
SAMN08204205																						
SAMN08204333																						
SAMN08204331																						
SAMN08204332																						
SAMN08204481																						
SAMN08204336																						
SAMN08204375																						
SAMN08203983																						
SAMN08203985																						
SAMN08203989																						
SAMN08203988																						
SAMN08203982																						
SAMN08203853																						
SAMN08203851																						
SAMN08203854																						
SAMN08204315																						
SAMN08204159																						
SAMN08203906																						
SAMN08204245																						
SAMN08204243																						
SAMN08204244																						
SAMN08204250																						
SAMN08204263																						
SAMN08204266																						
SAMN08204400																						
SAMN08204391																						
SAMN08204297																						
SAMN08204295																						
SAMN08204293																						
SAMN08204294																						
SAMN08204299																						
SAMN08203927																						
SAMN08203944																						
SAMN08204070																						
SAMN08204377																						
SAMN08204063																						
SAMN08204062																						
SAMN08204433																						
SAMN08204137																						
SAMN08204135																						
SAMN08204065																						
SAMN08204220																						
SAMN08204218																						
SAMN08204139																						
SAMN08204217																						
SAMN08204182																						
SAMN08203948																						
SAMN08203856																						
SAMN08204472																						
SAMN08204477																						
SAMN08204475																						
SAMN08204480																						
SAMN08204319																						
SAMN08204409																						
SAMN08204434																						
SAMN08204383																						
SAMN08203958																						
SAMN08203956																						
SAMN08203957																						
SAMN08204382																						
SAMN08203955																						
SAMN08203953																						
SAMN08203959																						
SAMN08204167																						
SAMN08203954																						
SAMN08204163																						
SAMN08204170																						
SAMN08203899																						
SAMN08203891																						
SAMN08203897																						
SAMN08204450																						
SAMN08204258																						
SAMN08204257																						
SAMN08204251																						
SAMN08204253																						
SAMN08204441																						
SAMN08203994																						
SAMN08203995																						
SAMN08203996																						
SAMN08203998																						
